closes,dates,volumes
290.6655,2015-07-13 01:00:00.000,130058766.78659293
286.6653999999999,2015-07-14 01:00:00.000,74446013.37027897
283.9491880809251,2015-07-15 01:00:00.000,52932167.70111447
276.6800999999999,2015-07-16 01:00:00.000,97423601.54430674
278.3728,2015-07-17 01:00:00.000,60573486.78209071
274.4838999999999,2015-07-18 01:00:00.000,52505422.1849008
272.806179588859,2015-07-19 01:00:00.000,26896009.893020075
277.2454,2015-07-20 01:00:00.000,40729476.381133035
274.9428876558478,2015-07-21 01:00:00.000,43239135.22644978
276.1756000000001,2015-07-22 01:00:00.000,43240737.35047461
275.6135,2015-07-23 01:00:00.000,34164576.518917255
288.4447167883336,2015-07-24 01:00:00.000,79396118.75259325
288.3881586253327,2015-07-25 01:00:00.000,54859994.563074075
291.7037645294952,2015-07-26 01:00:00.000,40248392.33013304
292.6148,2015-07-27 01:00:00.000,63540197.33148093
293.9933,2015-07-28 01:00:00.000,63623601.6003042
288.7194990885924,2015-07-29 01:00:00.000,52624701.467293404
286.8366,2015-07-30 01:00:00.000,43880110.290356554
283.6760591480217,2015-07-31 01:00:00.000,63971590.58757594
280.7014,2015-08-01 01:00:00.000,53533745.82603215
281.7267,2015-08-02 01:00:00.000,46165536.822869964
281.829870770124,2015-08-03 01:00:00.000,41411646.7104373
284.2393,2015-08-04 01:00:00.000,48308760.90560098
281.4010623650275,2015-08-05 01:00:00.000,43424335.531163365
278.0134,2015-08-06 01:00:00.000,41914107.67785419
278.5088137572824,2015-08-07 01:00:00.000,47637462.16841643
259.8007283854695,2015-08-08 01:00:00.000,80056216.9967666
264.3384833893257,2015-08-09 01:00:00.000,67863178.91055241
263.5782,2015-08-10 01:00:00.000,60783290.21756031
269.8668,2015-08-11 01:00:00.000,64124892.99653497
267.7126,2015-08-12 01:00:00.000,73043602.38810194
263.6558186169038,2015-08-13 01:00:00.000,57163446.795025095
265.1281000000001,2015-08-14 01:00:00.000,61280618.55732058
260.4762322897643,2015-08-15 01:00:00.000,38131976.86865548
257.8158000000001,2015-08-16 01:00:00.000,55868003.65302729
257.0634000000001,2015-08-17 01:00:00.000,51730292.4009465
253.0766,2015-08-18 01:00:00.000,49833133.79994442
225.9602,2015-08-19 01:00:00.000,143390129.28370252
234.6379,2015-08-20 01:00:00.000,99655604.53121857
232.3324000000001,2015-08-21 01:00:00.000,62180213.61240129
229.1488,2015-08-22 01:00:00.000,102329840.28166316
227.2453999999999,2015-08-23 01:00:00.000,72465770.66977338
210.0943850637937,2015-08-24 01:00:00.000,139379271.33868462
221.3282999999999,2015-08-25 01:00:00.000,183422133.02821282
225.2666000000001,2015-08-26 01:00:00.000,144278489.53657845
222.9704,2015-08-27 01:00:00.000,69900344.06948392
231.6583,2015-08-28 01:00:00.000,95134718.75546841
228.4683,2015-08-29 01:00:00.000,56654306.07150725
228.0672,2015-08-30 01:00:00.000,54615311.643692665
230.0781,2015-08-31 01:00:00.000,58032869.77182835
227.1631,2015-09-01 01:00:00.000,61479340.23891231
228.6427999999999,2015-09-02 01:00:00.000,47781609.22090014
226.5658,2015-09-03 01:00:00.000,43765322.15025832
230.0509,2015-09-04 01:00:00.000,55274502.37627574
234.7495,2015-09-05 01:00:00.000,58712579.1018823
239.1288999999999,2015-09-06 01:00:00.000,70113446.29750317
240.503,2015-09-07 01:00:00.000,50336412.979991846
243.5587,2015-09-08 01:00:00.000,67754768.56019479
237.9452,2015-09-09 01:00:00.000,55993048.11643384
238.7763,2015-09-10 01:00:00.000,48531118.883055605
240.0007956438866,2015-09-11 01:00:00.000,44294574.3495357
234.9098,2015-09-12 01:00:00.000,40541222.49556373
230.5048000000001,2015-09-13 01:00:00.000,46253457.40687432
230.21,2015-09-14 01:00:00.000,52117340.606796384
229.9118,2015-09-15 01:00:00.000,58562863.20358095
228.4640000000001,2015-09-16 01:00:00.000,51089489.85407352
232.746,2015-09-17 01:00:00.000,54594105.82680428
232.354,2015-09-18 01:00:00.000,79606359.72514415
231.2732999999999,2015-09-19 01:00:00.000,39022087.91012471
230.6597,2015-09-20 01:00:00.000,36477159.2595533
226.4528,2015-09-21 01:00:00.000,36795275.81748264
229.8831,2015-09-22 01:00:00.000,71785978.8373853
229.8658,2015-09-23 01:00:00.000,53526673.23620633
233.9255,2015-09-24 01:00:00.000,124125639.29530513
234.9767,2015-09-25 01:00:00.000,115435785.46487305
234.5278999999999,2015-09-26 01:00:00.000,93607431.45305927
232.8346999999999,2015-09-27 01:00:00.000,75776526.63573742
239.2765,2015-09-28 01:00:00.000,245683532.12691057
237.2262,2015-09-29 01:00:00.000,115160470.82095526
236.0463,2015-09-30 01:00:00.000,76056339.96172076
237.7358,2015-10-01 01:00:00.000,72356986.64595664
237.2592999999999,2015-10-02 01:00:00.000,84448749.0956819
238.9718,2015-10-03 01:00:00.000,73353042.37453015
238.6566,2015-10-04 01:00:00.000,78899567.08428396
240.3238,2015-10-05 01:00:00.000,107434379.86060317
246.444,2015-10-06 01:00:00.000,135776679.78278795
243.2229000000001,2015-10-07 01:00:00.000,121587412.75625242
242.9008,2015-10-08 01:00:00.000,97564224.99277282
244.2051,2015-10-09 01:00:00.000,109153976.98039407
245.3209,2015-10-10 01:00:00.000,89165069.70010512
247.5392,2015-10-11 01:00:00.000,79268221.71546365
245.5661,2015-10-12 01:00:00.000,108125413.61682853
249.4051,2015-10-13 01:00:00.000,164455688.10166356
252.6956,2015-10-14 01:00:00.000,321865165.91051394
254.6295530746221,2015-10-15 01:00:00.000,207297257.62019613
262.3735,2015-10-16 01:00:00.000,332398256.1656234
270.3646,2015-10-17 01:00:00.000,271593080.8014066
262.2345,2015-10-18 01:00:00.000,116712427.05704656
264.2094,2015-10-19 01:00:00.000,224715633.9081733
270.2663999999999,2015-10-20 01:00:00.000,319017395.23033226
267.0187,2015-10-21 01:00:00.000,201630914.85690627
273.5729999999999,2015-10-22 01:00:00.000,229034925.6796039
277.3883999999999,2015-10-23 01:00:00.000,130573069.75416414
282.9566,2015-10-24 01:00:00.000,168029249.3828648
284.749,2015-10-25 01:00:00.000,336860319.5875912
285.5159,2015-10-26 00:00:00.000,221583939.26366535
294.8093999999999,2015-10-27 00:00:00.000,329397533.93903714
303.6366,2015-10-28 00:00:00.000,387209571.0614479
313.9073,2015-10-29 00:00:00.000,543163761.4698877
325.8005999999999,2015-10-30 00:00:00.000,843340993.2179483
312.2783,2015-10-31 00:00:00.000,321997491.79856926
324.9970999999999,2015-11-01 00:00:00.000,582434357.3722049
350.7678,2015-11-02 00:00:00.000,636690229.0056115
398.2369,2015-11-03 00:00:00.000,987283928.3196412
404.3588,2015-11-04 00:00:00.000,984425381.794543
387.473,2015-11-05 00:00:00.000,913505444.7997164
372.8260000000001,2015-11-06 00:00:00.000,770242854.4761926
387.0599999999999,2015-11-07 00:00:00.000,462741972.46864593
371.5020000000001,2015-11-08 00:00:00.000,264157489.62253815
